app_id,app_name,avatar_user,user,country_user,city_user,account_date_user,week_activity_user,money_spent_user,usage_time_user
68,Tin,https://robohash.org/porroquamatque.png?size=50x50&set=set1,wvanvelde1v,Russia,Komsomolsk-on-Amur,19/09/2009,true,"94,28 PLN",1994
69,Bigtax,https://robohash.org/isteeligendiquaerat.png?size=50x50&set=set1,kyeomans1w,China,Tonggu,07/08/2018,true,"447,89 PLN",1367
70,Bitchip,https://robohash.org/quiadoloremeius.png?size=50x50&set=set1,fdombrell1x,China,Huaizhong,03/02/2021,true,"14,00 PLN",1535
71,Lotlux,https://robohash.org/cumutin.png?size=50x50&set=set1,hdodshun1y,Bangladesh,Nāgarpur,03/04/2010,true,"10,42 PLN",1221
72,Y-find,https://robohash.org/sedinventorequo.png?size=50x50&set=set1,kblazewicz1z,France,Perpignan,23/05/2007,false,"2290,25 PLN",1258
73,Konklux,https://robohash.org/suscipitlaborumtenetur.png?size=50x50&set=set1,dzimmermeister20,Guatemala,San Antonio Huista,05/02/2017,false,"776,94 PLN",1264
74,Fix San,https://robohash.org/veliteiussit.png?size=50x50&set=set1,alamy21,Philippines,Sabangan,07/08/2010,true,"7770,39 PLN",1025
75,Voltsillam,https://robohash.org/estevenietnostrum.png?size=50x50&set=set1,cquadri22,Ukraine,Tymoshivka,28/12/2009,false,"785,14 PLN",1927
76,Tres-Zap,https://robohash.org/totaminsit.png?size=50x50&set=set1,wleftly23,Ecuador,Atuntaqui,18/02/2011,false,"70,49 PLN",1826
77,Toughjoyfax,https://robohash.org/numquametet.png?size=50x50&set=set1,balfonsetto24,Poland,Rudy,01/04/2015,true,"36,37 PLN",1531
78,Voyatouch,https://robohash.org/saepeperspiciatisest.png?size=50x50&set=set1,kgoane25,Czech Republic,Smidary,04/07/2014,true,"6522,13 PLN",1196
79,Stim,https://robohash.org/nihilperspiciatisest.png?size=50x50&set=set1,bdundredge26,Botswana,Letlhakeng,02/03/2013,true,"1426,40 PLN",1734
80,Andalax,https://robohash.org/voluptatemipsaquod.png?size=50x50&set=set1,amulliss27,Sweden,Övertorneå,14/04/2018,false,"6697,34 PLN",998
81,Biodex,https://robohash.org/sitautdebitis.png?size=50x50&set=set1,jhembling28,Canada,Wolfville,06/10/2021,true,"90,88 PLN",1804
82,Asoka,https://robohash.org/nonetvoluptas.png?size=50x50&set=set1,fochiltree29,Thailand,Tha Luang,25/06/2011,true,"9147,15 PLN",1862
83,Konklab,https://robohash.org/nesciuntidnon.png?size=50x50&set=set1,egreaterex2a,Indonesia,Gandong,20/01/2013,true,"17,36 PLN",1204
84,Wrapsafe,https://robohash.org/itaqueearumarchitecto.png?size=50x50&set=set1,tjess2b,Serbia,Ruma,11/03/2016,true,"56,99 PLN",1384
85,Sub-Ex,https://robohash.org/voluptatemutfuga.png?size=50x50&set=set1,cbonsall2c,Indonesia,Peseng,17/11/2021,false,"111,28 PLN",1265
86,Cardguard,https://robohash.org/quiautpraesentium.png?size=50x50&set=set1,rmorphet2d,Syria,‘Arīqah,16/05/2013,false,"2041,76 PLN",1054
87,Overhold,https://robohash.org/facereetnulla.png?size=50x50&set=set1,mkhosa2e,China,Qiaotou,23/12/2016,true,"1,63 PLN",1749
88,Domainer,https://robohash.org/consecteturarchitectoquo.png?size=50x50&set=set1,sseawell2f,Russia,Pil’na,02/07/2018,true,"1,65 PLN",1529
89,Fixflex,https://robohash.org/teneturconsequatureligendi.png?size=50x50&set=set1,scolnet2g,China,Haitang,30/09/2018,false,"2,99 PLN",1504
90,Bitwolf,https://robohash.org/undedolorquia.png?size=50x50&set=set1,etunnoch2h,Laos,Savannakhét,23/06/2016,false,"7,92 PLN",1255
91,Wrapsafe,https://robohash.org/etnatusmolestias.png?size=50x50&set=set1,gmelin2i,China,Sanhe,21/06/2016,false,"2521,29 PLN",1484
92,Sub-Ex,https://robohash.org/omniscorruptiqui.png?size=50x50&set=set1,idunphy2j,Kazakhstan,Komsomolets,10/06/2020,true,"8,04 PLN",1870
93,Aerified,https://robohash.org/istenondignissimos.png?size=50x50&set=set1,cpolsin2k,China,Dagkar,27/10/2018,true,"379,04 PLN",1639
94,Voyatouch,https://robohash.org/verodoloremvoluptates.png?size=50x50&set=set1,swalkden2l,Colombia,Cúcuta,15/01/2007,false,"333,59 PLN",1683
95,Fixflex,https://robohash.org/reiciendisofficiisincidunt.png?size=50x50&set=set1,cdurden2m,Indonesia,Partikan,18/08/2009,true,"6716,07 PLN",1776
96,Kanlam,https://robohash.org/corruptiarchitectoomnis.png?size=50x50&set=set1,cmacdonough2n,Indonesia,Sadahayu,06/06/2007,true,"7420,54 PLN",1115
97,Fintone,https://robohash.org/suntporroatque.png?size=50x50&set=set1,taudibert2o,China,Danzao,01/07/2019,false,"5596,74 PLN",1242
98,Lotstring,https://robohash.org/culpaanimidolor.png?size=50x50&set=set1,gbohike2p,Cuba,Cauto Cristo,09/05/2007,true,"3,63 PLN",1909
99,Viva,https://robohash.org/autrepellendusassumenda.png?size=50x50&set=set1,fridwood2q,China,Xinzhou,24/08/2022,false,"76,42 PLN",1771
100,Zamit,https://robohash.org/illumdoloremrepellendus.png?size=50x50&set=set1,mceillier2r,Russia,Abaza,16/06/2019,false,"2,25 PLN",1643
101,Matsoft,https://robohash.org/voluptatequicumque.png?size=50x50&set=set1,vbeadle2s,Russia,Yuzhno-Sukhokumsk,06/05/2019,true,"4442,57 PLN",1720
102,Zamit,https://robohash.org/eospariaturut.png?size=50x50&set=set1,bgiraudeau2t,Ukraine,Novoselitsa,11/05/2015,true,"3,62 PLN",1363
103,It,https://robohash.org/consequaturvoluptasrepudiandae.png?size=50x50&set=set1,cmorin2u,China,Erdaojiang,17/03/2022,false,"35,43 PLN",1708
104,Fix San,https://robohash.org/omnisetrepellat.png?size=50x50&set=set1,phopfner2v,Malaysia,Alor Star,23/10/2021,false,"5,51 PLN",1245
105,It,https://robohash.org/molestiaeliberoeos.png?size=50x50&set=set1,ttritten2w,China,Cheping,25/04/2007,false,"4851,72 PLN",1100
106,Zaam-Dox,https://robohash.org/eligendierrorsit.png?size=50x50&set=set1,tcrowcher2x,China,Ji’an,16/06/2014,true,"2775,92 PLN",865
107,Matsoft,https://robohash.org/sitfugiatdolore.png?size=50x50&set=set1,rgrombridge2y,Ireland,Longwood,31/05/2020,true,"65,72 PLN",1839
108,Ronstring,https://robohash.org/explicabonullanecessitatibus.png?size=50x50&set=set1,emathou2z,Indonesia,Sungayang,27/10/2019,true,"06,92 PLN",1747
109,Zaam-Dox,https://robohash.org/voluptatemreprehenderitexplicabo.png?size=50x50&set=set1,dharget30,Czech Republic,Červená Voda,18/06/2019,true,"69,93 PLN",972
110,Holdlamis,https://robohash.org/aliasetat.png?size=50x50&set=set1,hwalasik31,Philippines,Igang,04/05/2007,false,"2008,58 PLN",1695
111,Wrapsafe,https://robohash.org/expeditavoluptaslabore.png?size=50x50&set=set1,ejesty32,Pakistan,Shāhdādkot,09/03/2012,false,"7,34 PLN",1063
112,Alphazap,https://robohash.org/velitvoluptatemvoluptatibus.png?size=50x50&set=set1,ccapron33,Philippines,Manaloal,06/10/2020,false,"4,35 PLN",1774
113,Home Ing,https://robohash.org/expeditaquipraesentium.png?size=50x50&set=set1,mfingleton34,Ukraine,Yahil’nytsya,29/05/2007,false,"34,41 PLN",877
114,Konklab,https://robohash.org/eosdeseruntet.png?size=50x50&set=set1,fbramble35,China,Fangbu,18/09/2013,false,"4214,73 PLN",1636
115,Toughjoyfax,https://robohash.org/ullamremet.png?size=50x50&set=set1,scastellaccio36,United States,Petaluma,21/02/2006,true,"901,44 PLN",1308
116,Stringtough,https://robohash.org/impeditoccaecativoluptatum.png?size=50x50&set=set1,jpetruk37,Philippines,Silongin,24/07/2011,false,"4,18 PLN",1032
117,Bytecard,https://robohash.org/veroremnam.png?size=50x50&set=set1,mcogswell38,Brazil,Apucarana,15/01/2006,false,"57,83 PLN",953
118,Trippledex,https://robohash.org/autenimaut.png?size=50x50&set=set1,wavard39,Thailand,Na Khu,13/08/2019,false,"2,44 PLN",1311
119,Greenlam,https://robohash.org/veliterrorquaerat.png?size=50x50&set=set1,lmcdougle3a,Japan,Kawaguchi,25/01/2020,true,"5,20 PLN",1870
120,Biodex,https://robohash.org/placeatpossimusculpa.png?size=50x50&set=set1,jmcrobert3b,Honduras,El Zapotal del Norte,12/08/2013,true,"344,00 PLN",1357
121,Daltfresh,https://robohash.org/quaevelreiciendis.png?size=50x50&set=set1,fchippindale3c,Mongolia,Dzüünbulag,25/09/2013,true,"26,45 PLN",1366
122,Asoka,https://robohash.org/veldelectusest.png?size=50x50&set=set1,crey3d,Hungary,Szeged,15/02/2015,false,"5850,41 PLN",1352
123,Bitchip,https://robohash.org/saepequoest.png?size=50x50&set=set1,bgreenroa3e,Russia,Korsakovo,06/04/2020,true,"1,42 PLN",1950
124,Gembucket,https://robohash.org/idestvoluptatem.png?size=50x50&set=set1,ddebenedictis3f,Sweden,Forshaga,13/06/2022,false,"2,10 PLN",1720
125,It,https://robohash.org/insedet.png?size=50x50&set=set1,bblowfelde3g,China,Datong,08/11/2015,false,"98,79 PLN",1408
126,Cookley,https://robohash.org/eumlaboriosamsint.png?size=50x50&set=set1,kcappleman3h,Portugal,Várzea,13/11/2019,false,"4941,60 PLN",1700
127,Zathin,https://robohash.org/utmagniearum.png?size=50x50&set=set1,ftwinbrow3i,Argentina,Paso de los Libres,11/07/2022,false,"4,28 PLN",1503
128,Gembucket,https://robohash.org/maioresveniamquis.png?size=50x50&set=set1,kstearndale3j,Kazakhstan,Petropavlovsk,04/03/2017,true,"0,13 PLN",1398
129,Bitwolf,https://robohash.org/distinctioharumperferendis.png?size=50x50&set=set1,fepgrave3k,Russia,Yasnyy,21/10/2021,true,"51,01 PLN",803
130,Trippledex,https://robohash.org/sitpraesentiumqui.png?size=50x50&set=set1,kworsam3l,Bosnia and Herzegovina,Dvorovi,29/09/2010,true,"23,70 PLN",1311
131,Fintone,https://robohash.org/utofficiisdolores.png?size=50x50&set=set1,vrichardin3m,Moldova,Ungheni,11/01/2006,true,"21,34 PLN",1702
132,Trippledex,https://robohash.org/quosametillo.png?size=50x50&set=set1,dheading3n,Peru,Marcara,16/11/2018,false,"68,74 PLN",1017
133,Zontrax,https://robohash.org/commodinumquameum.png?size=50x50&set=set1,nclemendot3o,Mongolia,Jargalant,16/11/2006,false,"356,59 PLN",1497
134,Bigtax,https://robohash.org/exvoluptatemesse.png?size=50x50&set=set1,mtimby3p,Brazil,Cajamar,19/09/2006,true,"48,51 PLN",1083
135,Hatity,https://robohash.org/sedculpaqui.png?size=50x50&set=set1,keminson3q,Ukraine,Krynychky,08/10/2020,true,"17,29 PLN",1011
136,Matsoft,https://robohash.org/occaecatiesttotam.png?size=50x50&set=set1,rsaltwell3r,Serbia,Barajevo,09/10/2008,true,"9,97 PLN",1724
137,Bigtax,https://robohash.org/impediteiussunt.png?size=50x50&set=set1,tandreolli3s,Philippines,Cordova,20/09/2010,true,"5700,76 PLN",1003
138,Solarbreeze,https://robohash.org/rerumquasienim.png?size=50x50&set=set1,sgudd3t,Sweden,Uddevalla,14/11/2005,false,"51,48 PLN",1848
139,Zontrax,https://robohash.org/hicdeseruntnihil.png?size=50x50&set=set1,bdurban3u,China,Xinhuang,15/10/2015,true,"428,60 PLN",1171
140,Redhold,https://robohash.org/adipiscivelprovident.png?size=50x50&set=set1,heskriet3v,China,Jiuhe,17/10/2008,true,"603,64 PLN",1631
141,Mat Lam Tam,https://robohash.org/quissunthic.png?size=50x50&set=set1,lkuhnke3w,Philippines,Ramos West,13/09/2009,false,"6564,62 PLN",944
142,Gembucket,https://robohash.org/modiquaeratprovident.png?size=50x50&set=set1,climmer3x,Russia,Tygda,15/05/2009,true,"524,69 PLN",949
143,Ronstring,https://robohash.org/laboreetnihil.png?size=50x50&set=set1,csprionghall3y,Mexico,Las Americas,23/07/2010,false,"0,36 PLN",1611
144,Quo Lux,https://robohash.org/delectuscumquevoluptatem.png?size=50x50&set=set1,hclemencet3z,Paraguay,Naranjal,06/04/2008,false,"87,39 PLN",893
145,Fintone,https://robohash.org/etvoluptatemeos.png?size=50x50&set=set1,tkuna40,China,Jiamachi,15/04/2014,true,"7,23 PLN",1656
146,Voyatouch,https://robohash.org/adolornisi.png?size=50x50&set=set1,mwarrington41,Honduras,Vallecillo,25/01/2021,false,"829,03 PLN",1713
147,Veribet,https://robohash.org/ducimuspraesentiumet.png?size=50x50&set=set1,rdominighi42,Mongolia,Bayanhoshuu,11/04/2010,true,"674,94 PLN",1219
148,Alpha,https://robohash.org/sintquasneque.png?size=50x50&set=set1,tstuffins43,China,Liucheng,07/09/2017,true,"73,76 PLN",1857
149,Zaam-Dox,https://robohash.org/veniamsaepequas.png?size=50x50&set=set1,lwank44,Philippines,Socorro,28/06/2017,false,"56,03 PLN",1137
150,Veribet,https://robohash.org/velitveritatisnon.png?size=50x50&set=set1,schadney45,Sweden,Västra Frölunda,23/09/2009,true,"9038,83 PLN",1016
151,Y-find,https://robohash.org/aspernaturetomnis.png?size=50x50&set=set1,ldashwood46,Poland,Lubaczów,13/07/2006,true,"7274,91 PLN",1667
152,Cardguard,https://robohash.org/solutaeaqueeius.png?size=50x50&set=set1,hlindro47,China,Laoxingchang,31/05/2009,true,"5830,85 PLN",1819
153,Aerified,https://robohash.org/quaeducimusnam.png?size=50x50&set=set1,cfaye48,China,Tangchijie,14/03/2022,false,"2645,08 PLN",809
154,Sonair,https://robohash.org/quoipsumprovident.png?size=50x50&set=set1,emcilvoray49,Indonesia,Tegarenkrajan,14/11/2005,false,"4926,71 PLN",1638
155,Konklux,https://robohash.org/quierrordolores.png?size=50x50&set=set1,ivarden4a,Philippines,Antipolo,23/12/2008,false,"00,59 PLN",1107
156,Overhold,https://robohash.org/quasmaximedoloribus.png?size=50x50&set=set1,laisman4b,South Africa,Witbank,27/02/2017,false,"213,22 PLN",888
157,Bitchip,https://robohash.org/corporispossimussoluta.png?size=50x50&set=set1,etonkin4c,France,Ploemeur,17/11/2018,true,"3178,01 PLN",1010
158,Zaam-Dox,https://robohash.org/assumendaeaquetempore.png?size=50x50&set=set1,mbeacock4d,Greece,Asíni,11/07/2009,false,"0,36 PLN",1597
159,Sonsing,https://robohash.org/etaliaset.png?size=50x50&set=set1,jcripwell4e,Poland,Sława,18/09/2008,true,"0603,54 PLN",1708
160,Regrant,https://robohash.org/temporaveniamnihil.png?size=50x50&set=set1,bblunsden4f,Thailand,Phra Pradaeng,25/03/2007,true,"87,23 PLN",1467
161,Voyatouch,https://robohash.org/quisutquaerat.png?size=50x50&set=set1,ltrowell4g,Colombia,El Retén,24/08/2007,true,"784,52 PLN",1812
162,Aerified,https://robohash.org/liberoquidemmolestiae.png?size=50x50&set=set1,drowledge4h,Indonesia,Rapas,17/01/2021,true,"3982,86 PLN",1429
163,Subin,https://robohash.org/quiutneque.png?size=50x50&set=set1,kboocock4i,Guatemala,Huité,28/06/2011,true,"0,98 PLN",1899
164,Fintone,https://robohash.org/cumporrodolorem.png?size=50x50&set=set1,hearingey4j,Indonesia,Gardutanjak,15/04/2012,false,"936,23 PLN",895
165,Temp,https://robohash.org/solutaprovidentdelectus.png?size=50x50&set=set1,kgover4k,Albania,Strum,13/03/2017,true,"6,23 PLN",1967
166,Tres-Zap,https://robohash.org/voluptatemomnisaut.png?size=50x50&set=set1,gguiet4l,Czech Republic,Hradec Králové,22/02/2013,false,"211,35 PLN",1411
167,Tampflex,https://robohash.org/porroperspiciatisut.png?size=50x50&set=set1,etieman4m,Philippines,Nagpandayan,02/11/2022,true,"3294,99 PLN",1184
168,Otcom,https://robohash.org/nulladelenitiiure.png?size=50x50&set=set1,dloker4n,Russia,Taldom,10/07/2012,false,"2,21 PLN",1109
169,Latlux,https://robohash.org/aveniamaut.png?size=50x50&set=set1,rbridgewood4o,Greece,Melíssia,01/06/2010,false,"81,12 PLN",1018
170,Veribet,https://robohash.org/excepturiquiplaceat.png?size=50x50&set=set1,vcolls4p,Brazil,Jaboatão,21/01/2017,true,"463,31 PLN",1836
171,Overhold,https://robohash.org/fugaabut.png?size=50x50&set=set1,lduddle4q,China,Koktokay,13/12/2015,false,"551,66 PLN",1118
172,Subin,https://robohash.org/quaenisidolorum.png?size=50x50&set=set1,khoudmont4r,Cambodia,Ban Lŭng,22/04/2016,false,"539,79 PLN",1286
173,Span,https://robohash.org/sequiaperiamsit.png?size=50x50&set=set1,froomes4s,France,Palaiseau,16/03/2011,true,"627,56 PLN",1842
174,Domainer,https://robohash.org/etnonadipisci.png?size=50x50&set=set1,ychieze4t,Russia,Pavlovsk,19/09/2019,false,"8502,63 PLN",1966
175,Opela,https://robohash.org/etvitaevero.png?size=50x50&set=set1,bavraham4u,Czech Republic,Tvarožná,05/07/2022,true,"536,18 PLN",1941
176,Veribet,https://robohash.org/idmagniimpedit.png?size=50x50&set=set1,dreyson4v,Indonesia,Luti,26/04/2015,true,"4262,78 PLN",1308
177,Span,https://robohash.org/consequaturfugiatet.png?size=50x50&set=set1,jmacrae4w,Ireland,Ballyboden,06/05/2008,true,"76,83 PLN",921
178,Overhold,https://robohash.org/accusantiumteneturhic.png?size=50x50&set=set1,akemer4x,Latvia,Inčukalns,16/01/2017,false,"1,66 PLN",1128
